,Date,AQI
649,2021-12-14,382.0
650,2021-12-15,340.0
651,2021-12-16,317.0
652,2021-12-17,311.0
653,2021-12-18,308.0
654,2021-12-19,307.0
655,2021-12-20,352.0
656,2021-12-21,390.0
657,2021-12-22,425.0
658,2021-12-23,350.0
659,2021-12-24,346.0
660,2021-12-25,372.0
661,2021-12-26,368.0
662,2021-12-27,321.0
663,2021-12-28,323.0
664,2021-12-29,322.0
665,2021-12-30,360.0
666,2021-12-31,379.0
667,2022-01-01,429.0
668,2022-01-02,437.0
669,2022-01-03,361.0
670,2022-01-04,372.0
671,2022-01-05,333.0
672,2022-01-06,197.0
673,2022-01-07,164.0
674,2022-01-08,51.0
675,2022-01-09,99.0
676,2022-01-10,241.0
677,2022-01-11,273.0
678,2022-01-12,315.0
679,2022-01-13,509.0
680,2022-01-14,424.0
681,2022-01-15,166.0
682,2022-01-16,213.0
683,2022-01-17,303.0
684,2022-01-18,350.0
685,2022-01-19,357.0
686,2022-01-20,354.0
687,2022-01-21,344.0
688,2022-01-22,325.0
689,2022-01-23,252.0
690,2022-01-24,242.0
691,2022-01-25,333.0
692,2022-01-26,313.0
693,2022-01-27,261.0
694,2022-01-28,251.0
695,2022-01-29,325.0
696,2022-01-30,326.0
697,2022-01-31,379.0
698,2022-02-01,351.0
699,2022-02-02,351.0
700,2022-02-03,376.0
701,2022-02-04,209.0
702,2022-02-05,328.0
703,2022-02-06,346.0
704,2022-02-07,327.0
705,2022-02-08,319.0
706,2022-02-09,266.0
707,2022-02-10,187.0
708,2022-02-11,191.0
709,2022-02-12,216.0
710,2022-02-13,320.0
711,2022-02-14,279.0
712,2022-02-15,302.0
713,2022-02-16,320.0
714,2022-02-17,336.0
715,2022-02-18,306.0
716,2022-02-19,177.0
717,2022-02-20,221.0
718,2022-02-21,214.0
719,2022-02-22,239.0
720,2022-02-23,328.0
721,2022-02-24,336.0
722,2022-02-25,305.0
723,2022-02-26,72.0
724,2022-02-27,83.0
725,2022-02-28,111.0
726,2022-03-01,244.0
727,2022-03-02,310.0
728,2022-03-03,211.0
729,2022-03-04,204.0
730,2022-03-05,101.0
731,2022-03-06,195.0
732,2022-03-07,263.0
733,2022-03-08,313.0
734,2022-03-09,147.0
735,2022-03-10,137.0
736,2022-03-11,211.0
737,2022-03-12,227.0
738,2022-03-13,288.0
739,2022-03-14,349.0
740,2022-03-15,237.0
741,2022-03-16,192.0
742,2022-03-17,200.0
743,2022-03-18,302.0
744,2022-03-19,235.0
745,2022-03-20,299.0
746,2022-03-21,193.0
747,2022-03-22,146.0
748,2022-03-23,212.0
749,2022-03-24,270.0
750,2022-03-25,197.0
751,2022-03-26,239.0
752,2022-03-27,302.0
753,2022-03-28,365.0
754,2022-03-29,384.0
755,2022-03-30,340.0
756,2022-03-31,339.0
757,2022-04-01,221.0
758,2022-04-02,319.0
759,2022-04-03,339.0
760,2022-04-04,303.0
761,2022-04-05,237.0
762,2022-04-06,312.0
763,2022-04-07,330.0
764,2022-04-08,374.0
765,2022-04-09,329.0
766,2022-04-10,148.0
767,2022-04-11,283.0
768,2022-04-12,225.0
769,2022-04-13,304.0
770,2022-04-14,263.0
771,2022-04-15,248.0
772,2022-04-16,312.0
773,2022-04-17,338.0
774,2022-04-18,333.0
775,2022-04-19,441.0
776,2022-04-20,300.0
777,2022-04-21,314.0
778,2022-04-22,169.0
779,2022-04-23,308.0
780,2022-04-24,342.0
781,2022-04-25,310.0
782,2022-04-26,253.0
783,2022-04-27,469.0
784,2022-04-28,390.0
785,2022-04-29,252.0
786,2022-04-30,293.0
787,2022-05-01,335.0
788,2022-05-02,267.0
789,2022-05-03,463.0
790,2022-05-04,239.0
791,2022-05-05,150.0
792,2022-05-06,311.0
793,2022-05-07,186.0
794,2022-05-08,211.0
795,2022-05-09,176.0
796,2022-05-10,150.0
797,2022-05-11,139.0
798,2022-05-12,150.0
799,2022-05-13,225.0
800,2022-05-14,339.0
801,2022-05-15,247.0
802,2022-05-16,319.0
803,2022-05-17,233.0
804,2022-05-18,209.0
805,2022-05-19,205.0
806,2022-05-20,249.0
807,2022-05-21,230.0
808,2022-05-22,137.0
809,2022-05-23,104.0
810,2022-05-24,102.0
811,2022-05-25,210.0
812,2022-05-26,243.0
813,2022-05-27,284.0
814,2022-05-28,191.0
815,2022-05-29,181.0
816,2022-05-30,137.0
817,2022-05-31,216.0
818,2022-06-01,216.0
819,2022-06-02,292.0
820,2022-06-03,330.0
821,2022-06-04,293.0
822,2022-06-05,255.0
823,2022-06-06,257.0
824,2022-06-07,521.0
825,2022-06-08,348.0
826,2022-06-09,295.0
827,2022-06-10,349.0
828,2022-06-11,264.0
829,2022-06-12,260.0
830,2022-06-13,186.0
831,2022-06-14,183.0
832,2022-06-15,125.0
833,2022-06-16,143.0
834,2022-06-17,102.0
835,2022-06-18,117.0
836,2022-06-19,93.0
837,2022-06-20,133.0
838,2022-06-21,186.0
839,2022-06-22,145.0
840,2022-06-23,177.0
841,2022-06-24,249.0
842,2022-06-25,255.0
843,2022-06-26,202.0
844,2022-06-27,174.0
845,2022-06-28,258.0
846,2022-06-29,188.0
847,2022-06-30,102.0
848,2022-07-01,172.0
849,2022-07-02,142.0
850,2022-07-03,75.0
851,2022-07-04,98.0
852,2022-07-05,231.0
853,2022-07-06,166.0
854,2022-07-07,108.0
855,2022-07-08,100.0
856,2022-07-09,123.0
857,2022-07-10,71.0
858,2022-07-11,85.0
859,2022-07-12,116.0
860,2022-07-13,99.0
861,2022-07-14,96.0
862,2022-07-15,83.0
863,2022-07-16,63.0
864,2022-07-17,84.0
865,2022-07-18,108.0
866,2022-07-19,104.0
867,2022-07-20,102.0
868,2022-07-21,69.0
869,2022-07-22,300.0
870,2022-07-23,145.0
871,2022-07-24,73.0
872,2022-07-25,60.0
873,2022-07-26,56.0
874,2022-07-27,43.0
875,2022-07-28,71.0
876,2022-07-29,44.0
877,2022-07-30,79.0
878,2022-07-31,55.0
879,2022-08-01,44.0
880,2022-08-02,68.0
881,2022-08-03,87.0
882,2022-08-04,90.0
883,2022-08-05,126.0
884,2022-08-06,227.0
885,2022-08-07,79.0
886,2022-08-08,73.0
887,2022-08-09,90.0
888,2022-08-10,72.0
889,2022-08-11,76.0
890,2022-08-12,82.0
891,2022-08-13,78.0
892,2022-08-14,79.0
893,2022-08-15,62.0
894,2022-08-16,43.0
895,2022-08-17,41.0
896,2022-08-18,50.0
897,2022-08-19,50.0
898,2022-08-20,61.0
899,2022-08-21,114.0
900,2022-08-22,128.0
901,2022-08-23,81.0
902,2022-08-24,76.0
903,2022-08-25,98.0
904,2022-08-26,106.0
905,2022-08-27,113.0
906,2022-08-28,140.0
907,2022-08-29,148.0
908,2022-08-30,141.0
909,2022-08-31,145.0
910,2022-09-01,124.0
911,2022-09-02,130.0
912,2022-09-03,114.0
913,2022-09-04,95.0
914,2022-09-05,103.0
915,2022-09-06,149.0
916,2022-09-07,151.0
917,2022-09-08,184.0
918,2022-09-09,215.0
919,2022-09-10,229.0
920,2022-09-11,166.0
921,2022-09-12,208.0
922,2022-09-13,93.0
923,2022-09-14,84.0
924,2022-09-15,70.0
925,2022-09-16,62.0
926,2022-09-17,92.0
927,2022-09-18,120.0
928,2022-09-19,200.0
929,2022-09-20,132.0
930,2022-09-21,115.0
931,2022-09-22,98.0
932,2022-09-23,82.0
933,2022-09-24,54.0
934,2022-09-25,64.0
935,2022-09-26,227.0
936,2022-09-27,222.0
937,2022-09-28,312.0
938,2022-09-29,321.0
939,2022-09-30,204.0
940,2022-10-01,259.0
941,2022-10-02,113.0
942,2022-10-03,139.0
943,2022-10-04,230.0
944,2022-10-05,301.0
945,2022-10-06,53.0
946,2022-10-07,37.0
947,2022-10-08,31.0
948,2022-10-09,32.0
949,2022-10-10,34.0
950,2022-10-11,90.0
951,2022-10-12,162.0
952,2022-10-13,172.0
953,2022-10-14,247.0
954,2022-10-15,321.0
955,2022-10-16,339.0
956,2022-10-17,355.0
957,2022-10-18,402.0
958,2022-10-19,332.0
959,2022-10-20,336.0
960,2022-10-21,395.0
961,2022-10-22,338.0
962,2022-10-23,338.0
963,2022-10-24,342.0
964,2022-10-25,350.0
965,2022-10-26,349.0
966,2022-10-27,368.0
967,2022-10-28,375.0
968,2022-10-29,501.0
969,2022-10-30,402.0
970,2022-10-31,490.0
971,2022-11-01,379.0
972,2022-11-02,360.0
973,2022-11-03,564.0
974,2022-11-04,370.0
975,2022-11-05,339.0
976,2022-11-06,316.0
977,2022-11-07,329.0
978,2022-11-08,328.0
979,2022-11-09,269.0
980,2022-11-10,327.0
981,2022-11-11,498.0
982,2022-11-12,313.0
983,2022-11-13,361.0
984,2022-11-14,308.0
985,2022-11-15,322.0
986,2022-11-16,249.0
987,2022-11-17,304.0
988,2022-11-18,354.0
989,2022-11-19,323.0
990,2022-11-20,299.0
991,2022-11-21,256.0
992,2022-11-22,288.0
993,2022-11-23,301.0
994,2022-11-24,363.0
995,2022-11-25,338.0
996,2022-11-26,324.0
997,2022-11-27,373.0
998,2022-11-28,305.0
999,2022-11-29,401.0
1000,2022-11-30,393.0
1001,2022-12-01,324.0
1002,2022-12-02,360.0
1003,2022-12-03,320.0
1004,2022-12-04,317.0
1005,2022-12-05,315.0
1006,2022-12-06,197.0
1007,2022-12-07,161.0
1008,2022-12-08,251.0
1009,2022-12-09,349.0
1010,2022-12-10,333.0
1011,2022-12-11,163.0
1012,2022-12-12,218.0
1013,2022-12-13,233.0
1014,2022-12-14,189.0
1015,2022-12-15,240.0
1016,2022-12-16,365.0
1017,2022-12-17,405.0
1018,2022-12-18,443.0
1019,2022-12-19,380.0
1020,2022-12-20,343.0
1021,2022-12-21,335.0
1022,2022-12-22,312.0
1023,2022-12-23,363.0
1024,2022-12-24,331.0
1025,2022-12-25,309.0
1026,2022-12-26,311.0
1027,2022-12-27,265.0
1028,2022-12-28,262.0
1029,2022-12-29,333.0
1030,2022-12-30,369.0
1031,2022-12-31,305.0
1032,2023-01-01,293.0
1033,2023-01-02,364.0
1034,2023-01-03,373.0
1035,2023-01-04,333.0
1036,2023-01-05,339.0
1037,2023-01-06,388.0
1038,2023-01-07,359.0
1039,2023-01-08,367.0
1040,2023-01-09,608.0
1041,2023-01-10,256.0
1042,2023-01-11,246.0
1043,2023-01-12,305.0
1044,2023-01-13,308.0
1045,2023-01-14,214.0
1046,2023-01-15,138.0
1047,2023-01-16,304.0
1048,2023-01-17,310.0
1049,2023-01-18,360.0
1050,2023-01-19,353.0
1051,2023-01-20,135.0
1052,2023-01-21,326.0
1053,2023-01-22,374.0
1054,2023-01-23,364.0
1055,2023-01-24,267.0
1056,2023-01-25,180.0
1057,2023-01-26,262.0
1058,2023-01-27,184.0
1059,2023-01-28,285.0
1060,2023-01-29,317.0
1061,2023-01-30,109.0
1062,2023-01-31,133.0
1063,2023-02-01,110.0
1064,2023-02-02,165.0
1065,2023-02-03,228.0
1066,2023-02-04,250.0
1067,2023-02-05,308.0
